*wormbook
author	chapter	editor	book	publisher	date	issn	doi	url
Lee, Raymond	Web resources for C. elegans studies	The C. elegans Research Community	WormBook	WormBook	December 28, 2005	1551-8507	10.1895/wormbook.1.48.1	http://www.wormbook.org
Felix, Marie-Anne	Oscheius tipulae	The C. elegans Research Community	WormBook	WormBook	August 16, 2006	1551-8507	10.1895/wormbook.1.119.1	http://www.wormbook.org
Piano, Fabio//Gunsalus, Kristin C.//Hill, David E.//Vidal, Marc	C. elegans network biology: a beginning	The C. elegans Research Community	WormBook	WormBook	August 21, 2006	1551-8507	10.1895/wormbook.1.118.1	http://www.wormbook.org
Blackwell, T. Keith//Walker, Amy K.	Transcription mechanisms	The C. elegans Research Community	WormBook	WormBook	September 5, 2006	1551-8507	10.1895/wormbook.1.121.1	http://www.wormbook.org
Bianchi, Laura//Driscoll, Monica	Culture of embryonic C. elegans cells for electrophysiological and pharmacological analyses	The C. elegans Research Community	WormBook	WormBook	September 30, 2006	1551-8507	10.1895/wormbook.1.122.1	http://www.wormbook.org
Richmond, Janet E.	Electrophysiological recordings from the neuromuscular junction of C. elegans	The C. elegans Research Community	WormBook	WormBook	October 6, 2006	1551-8507	10.1895/wormbook.1.112.1	http://www.wormbook.org
Bargmann, Cornelia I.	Chemosensation in C. elegans	The C. elegans Research Community	WormBook	WormBook	October 25, 2006	1551-8507	10.1895/wormbook.1.123.1	http://www.wormbook.org
Bastiani, Carol//Mendel, Jane	Heterotrimeric G proteins in C. elegans	The C. elegans Research Community	WormBook	WormBook	October 13, 2006	1551-8507	10.1895/wormbook.1.75.1	http://www.wormbook.org
Mitreva, Makedonka//Jasmer, Douglas P.	Biology and genome of Trichinella spiralis	The C. elegans Research Community	WormBook	WormBook	November 23, 2006	1551-8507	10.1895/wormbook.1.124.1	http://www.wormbook.org
Inglis, Peter N.//Ou, Guangshuo//Leroux, Michel R.//Scholey, Jonathan M.	The sensory cilia of Caenorhabditis elegans	The C. elegans Research Community	WormBook	WormBook	November 27, 2006	1551-8507	10.1895/wormbook.1.126.1	http://www.wormbook.org
Inglis, Peter N.//Ou, Guangshuo//Leroux, Michel R.//Scholey, Jonathan M.	The sensory cilia of Caenorhabditis elegans	The C. elegans Research Community	WormBook	WormBook	March 8, 2007	1551-8507	10.1895/wormbook.1.126.2	http://www.wormbook.org
Berninsone, Patricia M.	Carbohydrates and glycosylation	The C. elegans Research Community	WormBook	WormBook	December 18, 2006	1551-8507	10.1895/wormbook.1.125.1	http://www.wormbook.org
Baird, Scott E.//Chamberlin, Helen M.	Caenorhabditis briggsae methods	The C. elegans Research Community	WormBook	WormBook	December 18, 2006	1551-8507	10.1895/wormbook.1.128.1	http://www.wormbook.org
Golden, Tamara R.//Melov, Simon	Gene expression changes associated with aging in C. elegans	The C. elegans Research Community	WormBook	WormBook	January 2, 2007	1551-8507	10.1895/wormbook.1.127.1	http://www.wormbook.org
Golden, Tamara R.//Melov, Simon	Gene expression changes associated with aging in C. elegans	The C. elegans Research Community	WormBook	WormBook	February 12, 2007	1551-8507	10.1895/wormbook.1.127.2	http://www.wormbook.org
Mango, Susan E.	The C. elegans pharynx: a model for organogenesis	The C. elegans Research Community	WormBook	WormBook	January 22, 2007	1551-8507	10.1895/wormbook.1.129.1	http://www.wormbook.org
Rand, James B.	Acetylcholine	The C. elegans Research Community	WormBook	WormBook	January 30, 2007	1551-8507	10.1895/wormbook.1.131.1	http://www.wormbook.org
Shaham (ed.), Shai	Methods in cell biology	The C. elegans Research Community	WormBook	WormBook	January 12, 2006	1551-8507	10.1895/wormbook.1.49.1	http://www.wormbook.org
Chase, Daniel L.//Koelle, Michael R.	Biogenic amine neurotransmitters in C. elegans	The C. elegans Research Community	WormBook	WormBook	February 20, 2007	1551-8507	10.1895/wormbook.1.132.1	http://www.wormbook.org
Lok, James B.	Strongyloides stercoralis: a model for translational research on parasitic nematode biology	The C. elegans Research Community	WormBook	WormBook	February 17, 2007	1551-8507	10.1895/wormbook.1.134.1	http://www.wormbook.org
